,0,1,2,3
56,CW848,Digital Marketing with Analytics,279,307.0
57,CW858,"Sports Management and Coaching (options, portfolio)",700,700.0
58,CW908,Business (options),260,307.0
59,CW938,Business with Law,270,288.0
60,CW948,Accounting,301,408.0
61,PC405,"Social, Political and Community Studies",251,296.0
62,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289.0
63,PC411,English and History (fulfils Teaching Council requirements),168,289.0
64,CR105,Chemical and Biopharmaceutical Engineering,432,498.0
65,CR106,Software Development,351,393.0
66,CR108,Mechanical Engineering,425,487.0
67,CR109,Structural Engineering,341,467.0
68,CR110,Automotive Business Management and Technology,318,347.0
69,CR112,Creative Digital Media,335,389.0
70,CR116,Computer Systems,318,381.0
71,CR121,Music at CIT Cork School of Music,633,1052.0
72,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021.0
73,CR126,Popular Music: Drums at CIT Cork School of Music,878,1043.0
74,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,761.0
75,CR128,Popular Music: Keyboards at CIT Cork School of Music,839,1009.0
76,CR129,Popular Music: Voice at CIT Cork School of Music,857,927.0
77,CR130,Musical Theatre,500,600.0
78,CR150,Business Information Systems,326,371.0
79,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979.0
80,CR220,Fine Art at CIT Crawford College of Art and Design,620,819.0
81,CR225,Photography with New Media,920,920.0
82,CR305,Physical Sciences (Common Entry),279,309.0
83,CR310,IT Management,282,317.0
84,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556.0
85,CR325,Pharmaceutical Biotechnology,388,422.0
86,CR333,Nutrition and Health Science,360,393.0
87,CR335,Biological Sciences (Common Entry),381,419.0
88,CR340,Analytical Chemistry with Quality Assurance,288,315.0
89,CR360,Instrument Engineering,291,329.0
90,CR365,Environmental Science and Sustainable Technology,334,362.0
91,CR370,Agri-Biosciences,408,431.0
92,CR400,Accounting,316,389.0
93,CR420,Marketing,288,329.0
94,CR425,International Business with Language,300,392.0
95,CR500,Engineering (Common Entry),381,424.0
96,CR510,Sustainable Energy Engineering,319,343.0
97,CR520,Biomedical Engineering,434,477.0
98,CR560,Architectural Technology,288,332.0
99,CR565,Interior Architecture,336,390.0
100,CR570,Quantity Surveying,279,342.0
101,CR572,Construction Management,253,300.0
102,CR580,Electrical Engineering,344,374.0
103,CR590,Electronic Engineering,342,411.0
104,CR600,Visual Communications,587,888.0
105,CR660,Tourism Management,249,290.0
106,CR700,Theatre and Drama Studies at CIT Cork School of Music,768,906.0
107,CK101,Arts - 3 years,300,368.0
108,CK102,Social Science,391,431.0
109,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340,409.0
110,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,442.0
111,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,388.0
112,CK108,Arts International - 4 years,429,466.0
113,CK109,English - 3 years or 4 years (International Pathway),347,423.0
114,CK110,World Languages,456,506.0
115,CK111,Early Years and Childhood Studies,398,429.0
116,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324,470.0
117,CK113,Criminology - 3 years or 4 years (International Pathway),408,430.0
118,CK114,Social Science (Youth and Community Work) - 3 years,,
119,CK115,Social Work - Mature Applicants only,,
120,CK116,Sports Studies and Physical Education,499,520.0
121,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361.0
122,CK120,Applied Psychology,506,532.0
123,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466.0
124,CK122,Government and Political Science,355,410.0
125,CK201,Commerce,465,489.0
126,CK202,Accounting,467,506.0
127,CK203,Business Information Systems,409,444.0
128,CK204,Finance,531,555.0
129,CK205,Commerce (International) with French,409,473.0
130,CK206,Commerce (International) with German,408,446.0
131,CK207,Commerce (International) with Italian,408,425.0
132,CK208,Commerce (International) with Hispanic Studies,431,455.0
133,CK209,Commerce (International) with Irish,509,528.0
134,CK211,Commerce (International) with Chinese Studies,398,420.0
135,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429.0
136,CK301,Law (Pathways) -  3 or 4 years,476,519.0
137,CK302,Law and French,453,531.0
138,CK304,Law and Irish,462,510.0
139,CK307,Law and Business,522,554.0
140,CK401,Computer Science,402,456.0
141,CK402,Biological and Chemical Sciences,498,520.0
142,CK404,"Biological, Earth and Environmental Sciences",412,451.0
143,CK405,Genetics,476,496.0
144,CK406,Chemical Sciences,457,488.0
145,CK407,Mathematical Sciences,531,578.0
146,CK408,Physics and Astrophysics,511,566.0
147,CK409,Industrial Physics (offered jointly by UCC and CIT),413,532.0
148,CK411,Data Science and Analytics,509,542.0
149,CK412,Agricultural Science,457,509.0
150,CK502,Food Marketing and Entrepreneurship,433,456.0
151,CK504,Nutritional Sciences,492,509.0
152,CK505,Food Science,444,477.0
153,CK506,International Development and Food Policy,367,410.0
154,CK600,Engineering,465,532.0
155,CK606,Architecture (offered jointly by UCC and CIT),465,496.0
156,CK701,Medicine (Undergraduate Entry - HPAT required),729,740.0
157,CK702,Dentistry,590,613.0
158,CK703,Pharmacy,577,589.0
159,CK704,Occupational Therapy,532,554.0
160,CK705,Speech and Language Therapy,509,529.0
161,CK706,Public Health Sciences,419,451.0
162,CK707,Medical and Health Sciences,510,543.0
163,CK710,General Nursing,440,466.0
164,CK712,Children`s and General Nursing (Integrated),499,520.0
165,CK720,Mental Health Nursing,398,429.0
166,CK730,Intellectual Disability Nursing,359,388.0
167,CK740,Midwifery,444,474.0
168,CK791,Medicine  - Graduate Entry (GAMSAT required),58,59.0
169,AC120,International Business,234,269.0
170,AC137,Liberal Arts,252,275.0
171,CT125,Information Technology,235,280.0
172,CM001,Education - Primary Teaching,452,462.0
173,CM002,Education - Primary Teaching - Gaeltacht Applicants,421,440.0
174,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506.0
175,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492,569.0
176,CM010,Education Studies,317,373.0
177,CM020,Early Childhood Education,336,363.0
178,DB500,Computing,242,320.0
179,DB501,Computing (Cloud Computing),326,329.0
180,DB502,Computing (Data Analytics and Big Data),269,269.0
181,DB503,Computing (Software Development),242,282.0
182,DB504,Computing (Web and Mobile Technology),227,269.0
183,DB510,Audio Production and Music Project Management,233,293.0
184,DB512,Business Studies,229,301.0
185,DB514,Business Studies (Law),269,337.0
186,DB515,Business Studies (Human Resource Management),225,288.0
187,DB516,Financial Services,328,336.0
188,DB517,Event Management,226,327.0
189,DB518,Marketing (Digital Media),210,289.0
190,DB521,Accounting and Finance,225,271.0
191,DB524,Business Information Systems,402,402.0
192,DB525,Marketing (Digital Media and Cloud Computing),284,309.0
193,DB526,Business Information Systems (Cloud Computing),253,288.0
194,DB527,Applied Social Care,235,288.0
195,DB531,Marketing,220,288.0
196,DB562,Psychology,208,310.0
197,DB566,Social Science,216,308.0
198,DB567,Film,192,295.0
199,DB568,Law,245,308.0
200,DB569,Business (Psychology),279,338.0
201,DC001,Education - Early Childhood Education,398,424.0
202,DC002,Education - Primary Teaching,462,485.0
203,DC003,Education - Primary Teaching - Gaeltacht Applicants,433,473.0
204,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,
205,DC005,Education - Primary Teaching - Irish Sign Language,316,316.0
206,DC009,Arts (Joint Honours) - Humanities,347,408.0
207,DC010,Post Primary Teacher Education - Religious Education and English,386,413.0
208,DC011,Post Primary Teacher Education - Religious Education and History,352,389.0
209,DC012,Post Primary Teacher Education - Religious Education and Music,367,415.0
210,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509.0
211,DC014,BA in Jazz and Contemporary Music Performance,428,590.0
212,DC110,Business Studies International,440,462.0
213,DC111,Business Studies,463,479.0
214,DC112,Global Business (France),495,510.0
215,DC113,Global Business (Germany),440,476.0
216,DC114,Global Business (Spain),501,543.0
217,DC115,Accounting and Finance,487,500.0
218,DC116,Global Business (USA),578,589.0
219,DC117,Aviation Management / Aviation Management with Pilot Studies,463,487.0
220,DC118,Gnó agus Gaeilge / Business and Irish,357,399.0
221,DC119,Global Business (Canada),566,577.0
222,DC120,Enterprise Computing,350,389.0
223,DC121,Computer Applications,370,418.0
224,DC123,Data Science,467,511.0
225,DC126,Actuarial Mathematics,520,543.0
226,DC127,Common Entry into Actuarial and Financial Mathematics,509,531.0
227,DC131,Communication Studies,400,441.0
228,DC132,Journalism,401,440.0
229,DC133,Multimedia,403,451.0
230,DC155,Applied Language and Translation Studies,371,430.0
231,DC161,Analytical Science,446,463.0
232,DC162,Chemical and Pharmaceutical Sciences,488,498.0
233,DC166,Environmental Science and Technology,412,442.0
234,DC167,Physics with Astronomy,434,477.0
235,DC168,Genetics and Cell Biology,489,500.0
236,DC171,Applied Physics,402,433.0
237,DC173,Physics with Biomedical Sciences,402,458.0
238,DC181,Biotechnology,476,488.0
239,DC190,Electronic and Computer Engineering (with choice of four majors),391,433.0
240,DC193,Mechatronic Engineering,404,445.0
241,DC195,Mechanical and Manufacturing Engineering,401,444.0
242,DC197,Biomedical Engineering,402,446.0
243,DC200,Common Entry into Engineering (Undenominated Entry),381,444.0
244,DC201,Common Entry into Science (Undenominated Entry),454,477.0
245,DC202,Sport Science and Health,467,476.0
246,DC203,Science Education,424,476.0
247,DC204,Athletic Therapy and Training,484,500.0
248,DC205,Physical Education with Biology,490,521.0
249,DC206,Physical Education with Mathematics,443,476.0
250,DC208,Psychology,509,521.0
251,DC209,Health and Society,419,440.0
252,DC215,General Nursing,414,443.0
253,DC216,Mental Health Nursing,368,389.0
254,DC217,Intellectual Disability Nursing,347,362.0
255,DC218,Children`s and General Nursing (Integrated),467,480.0
256,DC230,"Economics, Politics and Law",400,431.0
257,DC231,International Relations,387,445.0
258,DC232,Law and Society (BCL),453,487.0
259,DC235,Education and Training - Daytime Delivery Mode (full-time),307,327.0
260,DC238,Social Sciences and Cultural Innovation,358,388.0
261,DC240,"Marketing, Innovation and Technology",451,474.0
262,DC291,Arts (Joint Honours) - Media Studies,349,392.0
263,DC292,Arts (Joint Honours) - Law,356,388.0
264,DC293,Arts (Joint Honours) - International Languages,369,400.0
265,DC295,Arts (Joint Honours) - Politics,348,387.0
266,DT001,Product Design,433,464.0
267,DT028,Transport Operations and Technology,279,348.0
268,DT035,Electrical Services and Energy Management,293,340.0
269,DT066,Engineering (General Entry),400,457.0
270,DT101,Architecture (test and interview),618,647.0
271,DT106,Planning and Environmental Management,312,337.0
272,DT110,Property Economics (Valuation Surveying),367,424.0
273,DT111,Quantity Surveying and Construction Economics,391,421.0
274,DT112,Geographic Science,287,335.0
275,DT117,Construction Management,356,373.0
276,DT175,Architectural Technology,388,425.0
277,DT201,Science (General Entry),464,477.0
278,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403.0
279,DT204,Biomedical Science,501,512.0
280,DT205,Mathematical Sciences,315,363.0
281,DT206,Biomedical and Molecular Diagnostics,473,487.0
282,DT211,Computer Science (Infrastructure),381,414.0
283,DT220,Industrial Mathematics,300,317.0
284,DT221,Physics with Energy and Environment,348,436.0
285,DT222,Physics Technology,321,371.0
286,DT223,Human Nutrition and Dietetics,553,566.0
287,DT224,Optometry,487,529.0
288,DT225,Public Health Nutrition,440,476.0
289,DT227,Science with Nanotechnology,312,361.0
290,DT228,Computer Science,451,466.0
291,DT229,Clinical Measurement Science,491,509.0
292,DT235,Physics with Medical Physics and Bioengineering,357,403.0
293,DT282,Computer Science (International),377,402.0
294,DT299,Chemical Sciences with Medicinal Chemistry,420,445.0
295,DT302,Business Analytics,325,403.0
296,DT304,E-Commerce in Retailing,341,388.0
297,DT321,Business and Law,462,478.0
298,DT341,Marketing,400,419.0
299,DT343,Retail and Services Management,301,332.0
300,DT354,Business Computing,322,341.0
301,DT358,Logistics and Supply Chain Management,300,359.0
302,DT365,Business and Management,440,456.0
303,DT366,Accounting and Finance,432,454.0
304,DT398,Human Resource Management,375,388.0
305,DT399,Economics and Finance,437,465.0
306,DT401,International Hospitality Management,300,337.0
307,DT405,Culinary Science,308,377.0
308,DT407,Culinary Arts,271,342.0
309,DT412,Tourism Marketing,284,322.0
310,DT413,Event Management,356,389.0
311,DT416,Culinary Entrepreneurship,275,339.0
312,DT420,Nutraceuticals in Health and Nutrition,392,432.0
313,DT421,Food Innovation,321,366.0
314,DT422,Pharmaceutical Healthcare,397,423.0
315,DT491,Environmental Health,343,380.0
316,DT501,Music,383,520.0
317,DT504,Film and Broadcasting,443,467.0
318,DT506,Commercial Modern Music,468,835.0
319,DT508,Game Design,403,454.0
320,DT517,Languages and English Studies,326,419.0
321,DT518,Languages and International Tourism,307,357.0
322,DT529,Drama (Performance),371,519.0
323,DT532,Law (LL.B.),422,441.0
324,DT533,Contemporary Visual Culture,,
325,DT544,Interior Design,552,866.0
326,DT545,Design - Visual Communication,667,897.0
327,DT546,Fine Art,668,813.0
328,DT555,International Business and Languages,353,399.0
329,DT559,Photography,700,926.0
330,DT571,Social Care,394,424.0
331,DT572,Early Childhood Education,385,403.0
332,DT582,Journalism,347,373.0
333,DT596,Print Media Technology and Management,252,311.0
334,DT597,Creative and Cultural Industries,280,369.0
335,DL821,"English, Media and Cultural Studies",211,317.0
336,DL822,Arts Management,209,319.0
337,DL823,Business Studies - Entrepreneurship and Management,260,316.0
338,DL825,Applied Psychology,349,413.0
339,DL826,Visual Communication Design,736,989.0
340,DL827,Art,583,902.0
341,DL828,"3D Design, Modelmaking and Digital Art",691,866.0
342,DL829,Design for Stage and Screen (Costume Design),817,1021.0
343,DL830,Design for Stage and Screen (Makeup Design),879,953.0
344,DL831,Design for Stage and Screen (Production Design),893,1073.0
345,DL832,Animation,855,1055.0
346,DL833,Photography,636,791.0
347,DL834,Film and Television Production,933,1011.0
348,DL835,Creative Media Technologies,237,289.0
349,DL836,Creative Computing,217,326.0
350,DL837,New Media Studies,290,349.0
351,DL838,Creative Music Production,746,873.0
352,GC200,Business Studies (Cork),269,359.0
353,GC201,Accounting and Finance (Cork),251,388.0
354,GC230,Computing Science (Cork),228,327.0
355,GC300,Business Studies (Limerick),251,302.0
356,GC301,Accounting and Finance,307,314.0
357,GC302,"Business Studies - (HRM, Limerick)",269,269.0
358,GC305,International Hospitality Management (Limerick),327,327.0
359,GC400,Business Studies (Dublin),246,297.0
360,GC401,Accounting and Finance (Dublin),181,309.0
361,GC402,"Business Studies (HRM, Dublin)",217,290.0
362,GC403,Law (Dublin),225,308.0
363,GC405,International Hospitality Management (Dublin),254,272.0
364,GC407,"Business Studies (Marketing, Dublin)",246,330.0
365,GC430,Computing Science (Dublin),217,269.0
366,GC450,Journalism and Visual Media (Dublin),227,307.0
367,GC462,Design Communication (Dublin),,
368,GC489,Interior Architecture (Dublin),267,361.0
369,GC494,Fashion Design (Dublin),,
370,ID001,Accounting and Finance,229,291.0
371,ID002,Business Studies,285,366.0
372,ID003,Business Studies with Chinese,,
373,BN101,Business,252,289.0
374,BN103,Business and Information Technology,254,290.0
375,BN104,Computing (Information Technology),260,293.0
376,BN107,Applied Social Studies in Social Care,300,328.0
377,BN108,Engineering (Common Entry with Award options),271,318.0
378,BN109,Business (Common Entry with Award options),260,279.0
379,BN110,International Business,253,308.0
380,BN111,Sports Management and Coaching,270,298.0
381,BN112,Creative Digital Media,280,329.0
382,BN113,Horticulture,289,321.0
383,BN114,Accounting and Finance,280,332.0
384,BN115,Community and Youth Development,250,298.0
385,BN117,Computer Engineering in Mobile Systems,273,311.0
386,BN118,Early Childhood Care and Education,290,320.0
387,BN119,Digital Marketing,270,308.0
388,BN120,Digital Forensics and Cyber Security,281,326.0
389,BN121,Mechatronic Engineering,276,340.0
390,BN123,"Design,Technology and Innovation",297,318.0
391,TA022,Creative Digital Media,260,318.0
392,TA023,Advertising and Marketing Communications,235,299.0
393,TA024,Early Childhood Care and Education,217,307.0
394,TA025,Social Care Practice,261,297.0
395,TA026,International Hospitality and Tourism Management,208,269.0
396,TA027,Botanical Cuisine,236,273.0
397,TA028,Digital Marketing Technologies,220,313.0
398,TA121,Accounting and Finance,202,328.0
399,TA122,Management,218,297.0
400,TA123,Marketing Management,207,284.0
401,TA125,International Business,229,300.0
402,TA221,Electronic Engineering,251,321.0
403,TA222,Mechanical Engineering,243,302.0
404,TA223,Sustainable Energy Engineering,236,305.0
405,TA224,Biomedical Design,218,324.0
406,TA225,Automation Engineering,235,288.0
407,TA226,Engineering Software,243,304.0
408,TA321,Pharmaceutical Science,261,298.0
409,TA322,Computing,200,294.0
410,TA323,Computing with IT Management,243,309.0
411,TA326,DNA and Forensic Analysis,300,362.0
412,TA327,Sports Science and Health,341,381.0
413,TA328,Computing with Language (French/German/Spanish),218,317
414,TA329,Computing with Data Analytics,218,296
415,AD101,First Year Art & Design (Common Entry), +mat,ic 550
416,AD102,Graphic Design and Moving Image Design, +mat,ic 635
417,AD103,Textile & Surface Design and Jewellery & Objects, +mat,ic 545
418,AD202,Education & Design or Fine Art (Second Level Teaching), +mat,ic 580
419,AD204,Fine Art, +mat,ic 600
420,AD211,Fashion Design, +mat,ic 600
421,AD212,Product Design, +mat,ic 600
422,AD215,Visual Culture,300,338
423,AD217,Illustration, +mat,ic 625
424,AD222,Interaction Design, +mat,ic 657
425,NC003,Computing (Degree Award options),261,316
426,NC005,Human Resource Management,297,320
427,NC009,Business,297,339
428,NC010,Psychology,366,399
429,NC020,Marketing Practice,270,307
430,NC022,Accounting and Finance,338,376
431,NC023,Technology Management (with specialisations),260,303
432,NC025,Data Science,297,371
433,RC001,Medicine - Undergraduate Entry (HPAT required),729,733
434,RC004,Physiotherapy,532,542
435,RC005,Pharmacy,555,566
436,RC101,Medicine - Graduate Entry (GAMSAT required),60,62
437,TR002,Music,414,473
438,TR003,History,486,518
439,TR004,Law,532,552
440,TR005,Philosophy,391,446
441,TR006,Psychology,555,577
442,TR007,Clinical Speech and Language Studies,499,529
443,TR009,Music Education,430,465
444,TR012,History and Political Science,532,557
445,TR015,"Philosophy, Political Science, Economics and Sociology",566,577
446,TR016,Deaf Studies,337,372
447,TR017,Law and Business,576,589
448,TR018,Law and French,532,554
449,TR019,Law and German,523,555
450,TR020,Law and Political Science,567,600
451,TR021,"Classics, Ancient History and Archaeology",377,495
452,TR022,Early and Modern Irish,347,407
453,TR023,English Studies,463,511
454,TR024,European Studies,520,544
455,TR025,Drama and Theatre Studies,489,531
456,TR028,Ancient and Medieval History and Culture,339,451
457,TR029,Political Science and Geography,477,500
458,TR031,Mathematics,566,589
459,TR032,Engineering,487,520
460,TR033,Computer Science,465,488
461,TR034,Management Science and Information Systems Studies,589,602
462,TR035,Theoretical Physics,554,601
463,TR038,Engineering with Management,499,543
464,TR039,Computer Science and Language,435,498.0
465,TR040,Middle Eastern and European Languages and Cultures,485,518.0
466,TR041,Religion,347,393.0
467,TR051,Medicine (HPAT required),730,739.0
468,TR052,Dental Science,590,602.0
469,TR053,Physiotherapy,533,544.0
470,TR054,Occupational Therapy,500,520.0
471,TR055,Radiation Therapy,510,521.0
472,TR056,Human Health and Disease,543,565.0
473,TR060,Biological and Biomedical Sciences,510,542.0
474,TR061,Chemical Sciences,488,520.0
475,TR062,Geography and Geoscience,435,485.0
476,TR063,Physical Sciences,498,543.0
477,TR072,Pharmacy,555,577.0
478,TR080,Global Business,565,577.0
479,TR081,"Business, Economic and Social Studies (BESS)",518,542.0
480,TR082,Computer Science and Business,510,542.0
481,TR083,Sociology and Social Policy,451,474.0
482,TR084,Social Studies (Social Work),420,462.0
483,TR085,Business Studies and French,509,553.0
484,TR086,Business Studies and German,474,495.0
485,TR087,Business Studies and Russian,467,487.0
486,TR089,Business Studies and Polish,393,434.0
487,TR090,Business Studies and Spanish,510,543.0
488,TR091,General Nursing (Meath and St James`s),393,420.0
489,TR093,General Nursing (Adelaide School of Nursing),378,409.0
490,TR095,Mental Health Nursing,358,377.0
491,TR097,Intellectual Disability Nursing,346,350.0
492,TR911,Children`s and General Nursing (Integrated),476,487.0
493,TR913,Midwifery,423,462.0
494,DN100,Architecture,473,509.0
495,DN120,Landscape Architecture,353,403.0
496,DN130,City Planning and Environmental Policy,367,421.0
497,DN150,Engineering (Common Entry),511,554.0
498,DN200,Science (options),521,554.0
499,DN201,Computer Science (Common Entry),488,509.0
500,DN230,Actuarial and Financial Studies,577,589.0
501,DN250,Agricultural Science (options),420,462.0
502,DN252,Dairy Business,398,428.0
503,DN253,Agri - Environmental Sciences,403,419.0
504,DN261,Food Science,434,467.0
505,DN262,Human Nutrition,493,510.0
506,DN271,Forestry,303,361.0
507,DN272,"Horticulture, Landscape and Sportsturf Management",252,312.0
508,DN300,Veterinary Medicine - Undergraduate Entry,567,589.0
509,DN301,Veterinary Medicine - Graduate Entry,,
510,DN310,Veterinary Nursing,441,487.0
511,DN400,Medicine - Undergraduate Entry (HPAT required),735,745.0
512,DN401,Medicine - Graduate Entry (GAMSAT required),59,61.0
513,DN410,Radiography,507,522.0
514,DN411,Radiography - Graduate Entry,,
515,DN420,Physiotherapy,542,555.0
516,DN425,Health and Performance Science,488,509.0
517,DN430,Sport and Exercise Management,436,455.0
518,DN440,"Biomedical, Health and Life Sciences",565,579.0
519,DN450,General Nursing,398,420.0
520,DN451,Children`s and General Nursing (Integrated),462,499.0
521,DN452,Midwifery,409,452.0
522,DN453,Mental Health Nursing,379,403.0
523,DN520,Arts (Two Subjects),336,408.0
524,DN530,Humanities (options),348,411.0
525,DN541,Modern Languages (options),348,412.0
526,DN600,Law (options),520,532.0
527,DN610,Business and Law,521,543.0
528,DN650,Commerce,498,510.0
529,DN660,Commerce International (options),507,531.0
530,DN670,Economics and Finance,601,601.0
531,DN700,Social Sciences (options),388,441.0
532,DN710,Economics,476,488.0
533,DN720,Psychology,517,531.0
534,DN750,Social Policy and Sociology,330,366.0
535,DK810,Accounting and Finance,306,391.0
536,DK816,Business Studies,300,357.0
537,DK820,Computing in Games Development,307,369.0
538,DK821,Computing in Software Development,301,347.0
539,DK830,Building Surveying,302,349.0
540,DK831,Architectural Technology,301,366.0
541,DK832,Construction Management,300,329.0
542,DK843,Engineering (Common Entry),303,402.0
543,DK860,Music,499,649.0
544,DK861,Arts,300,358.0
545,DK862,Social Care,300,338.0
546,DK863,Creative Media,300,376.0
547,DK864,Film and Television Production,300,332.0
548,DK865,Audio and Music Production,301,346.0
549,DK870,General Nursing,392,401.0
550,DK872,Intellectual Disability Nursing,300,317.0
551,DK874,Mental Health Nursing,356,378.0
552,DK876,Early Childhood Studies,305,359.0
553,DK877,Midwifery,398,441.0
554,DK880,Health and Physical Activity,300,367.0
555,DK882,Agriculture (Award options),303,358.0
556,DK883,Science (Award options),300,369.0
557,GA181,Accounting,303,378.0
558,GA182,Business,290,347.0
559,GA183,Business Information Systems,309,373.0
560,GA184,Marketing and Sales,307,348.0
561,GA185,Finance and Economics,307,398.0
562,GA186,Business with Entrepreneurship,297,328.0
563,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367.0
564,GA281,Film and Documentary,287,360.0
565,GA282,Heritage Studies,238,308.0
566,GA283,Contemporary Art,260,340.0
567,GA284,Design,309,377.0
568,GA380,International Hotel Management,225,289.0
569,GA381,International Tourism Management,261,290.0
570,GA382,Culinary and Gastronomic Science,225,316.0
571,GA384,Event Management with Public Relations,209,289.0
572,GA385,Retail Management,219,319.0
573,GA480,Construction Management,260,312.0
574,GA482,Quantity Surveying and Construction Economics,280,340.0
575,GA483,Architectural Technology,251,321.0
576,GA484,Civil Engineering,270,362.0
577,GA580,Software and Electronic Engineering,301,351.0
578,GA680,Mechanical Engineering,336,389.0
579,GA681,Energy Engineering,281,328.0
580,GA682,Biomedical Engineering,331,383.0
581,GA683,Agricultural Engineering,301,365.0
582,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406.0
583,GA780,Applied Freshwater and Marine Biology,300,360.0
584,GA781,Applied Biology and Biopharmaceutical Science,317,376.0
585,GA782,Chemical and Pharmaceutical Science,307,346.0
586,GA783,Physics and Instrumentation,373,378.0
587,GA784,Science (Undenominated),327,377.0
588,GA785,Medical Science,451,486.0
589,GA786,Forensic Science and Analysis,300,366.0
590,GA787,Computing in Software Development,275,327.0
591,GA788,Computing and Digital Media,270,327.0
592,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339.0
593,GA790,Sport and Exercise Science,350,379.0
594,GA791,Public Health Nutrition,364,397.0
595,GA880,General Nursing - Mayo Campus,389,400.0
596,GA882,Psychiatric Nursing - Mayo Campus,346,370.0
597,GA885,Outdoor Education - Mayo Campus,210,298.0
598,GA887,History and Geography - Mayo Campus,228,296.0
599,GA889,Applied Social Care - Mayo Campus,260,297.0
600,GA890,Early Childhood Care and Education - Mayo Campus,278,319.0
601,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389.0
602,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350.0
603,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352.0
604,GY101,Arts (Joint-Honours),300,374.0
605,GY104,Arts (Psychology),507,529.0
606,GY105,Arts (History),318,358.0
607,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397.0
608,GY109,Arts (Mathematics and Education),411,487.0
