,Code,Course,Round1_x,Round2_x,Round1_y,Round2_y,Round1,Round2
821,MH501,LLB Law - four year Single Major Law programme,451,476.0,473.0,,507.0, 
822,MH502,Law (options),410,442.0,451.0,,465.0, 
823,MH601,Computer Science through Arts (options),342,369.0,352.0,,381.0, 
824,MH602,Computer Science through Science (options),357,413.0,351.0,,400.0, 
825,MH603,Computational Thinking,520,543.0,532.0,,520.0, 
826,MH801,Early Childhood - Teaching and Learning (part-time),347,358.0,327.0,,,AQA      AQA
827,MH802,"Community and Youth Work (part-time, in service",,,,#,,    
828,MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",,,,#,,    
829,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497.0,510.0,,542.0, 533
830,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433.0,441.0,434,464.0, 452
831,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457.0,440.0,440,463.0,457
832,AS051,"Nutrition, Food and Business Management",337,399.0,328.0,317,378.0, 347
833,AS054,Home Economics,387,401.0,408.0,398,440.0,419
834,AS110,General Nursing,391,409.0,419.0,,440.0,432
835,AS130,Intellectual Disability Nursing,317,338.0,336.0,328,387.0, 358
836,SG141,Business,252,317.0,261.0,,262.0, 
837,SG142,Business in International Marketing and Sales with French,270,388.0,279.0,,,
838,SG144,Business in International Marketing and Sales with Spanish,280,388.0,270.0,,,
839,SG146,Accounting,307,347.0,309.0,,304.0, 
840,SG147,Sport with Business,269,316.0,307.0,,288.0, 
841,SG148,Tourism with Event Management,246,282.0,269.0,,298.0, 
842,SG149,Business in Finance and Investment,262,357.0,,,,
843,SG241,Performing Arts,279,348.0,328.0,,341.0, 
844,SG242,Early Childhood Care and Education,278,318.0,279.0,,287.0, 
845,SG243,Social Care Practice,297,338.0,301.0,,309.0, 
846,SG244,Fine Art,355,496.0,505.0,,501.0,
847,SG245,Creative Design,261,338.0,282.0,,332.0, 
848,SG246,Computing,295,368.0,290.0,,316.0, 
849,SG247,English and Psychology,308,336.0,309.0,,319.0, 
850,SG248,Sociology and Politics,282,320.0,281.0,,298.0, 
851,SG249,Writing and Literature,279,338.0,297.0,,308.0, 
852,SG250,Application Design and User Experience,290,431.0,412.0,,,
853,SG251,Computing (Smart Technologies),303,391.0,327.0,,,
854,SG252,Software Development,300,354.0,307.0,,310.0, 
855,SG253,Computer Networks and Cloud Infrastructure,273,341.0,324.0,,336.0, 
856,SG343,Quantity Surveying,261,302.0,311.0,,300.0, 
857,SG346,Construction Project Management and Applied Technology,289,351.0,291.0,,313.0, 
858,SG347,Architecture,309,357.0,360.0,,403.0, 
859,SG441,Environmental Science,297,358.0,,,,
860,SG442,Occupational Safety and Health,289,330.0,290.0,,307.0, 
861,SG443,Human Nutrition,357,419.0,356.0,,376.0, 
862,SG444,Science (Undenominated),308,369.0,338.0,,358.0, 
863,SG445,Pharmaceutical Science with Drug Development,347,369.0,311.0,,357.0, 
864,SG446,Applied Archaeology,289,290.0,,,,
865,SG447,Health Science and Physical Activity,316,363.0,328.0,,326.0, 
866,SG448,Forensic Investigation and Analysis,306,348.0,306.0,,308.0, 
867,SG449,Medical Biotechnology,329,352.0,341.0,,315.0, 
868,TL801,Animation Visual Effects and Motion Design,281,341.0,281.0,,718.0,
869,TL802,"TV, Radio and New Media",306,356.0,325.0,,322.0, 
870,TL803,Music Technology,264,288.0,,,,
871,TL810,Computing with Software Development,309,341.0,310.0,,308.0, 
872,TL811,Computing with Games Development,310,334.0,358.0,,322.0, 
873,TL812,Computing with Digital Media,369,369.0,,,,
874,TL815,Computing (Degree Award options),308,378.0,308.0,,307.0, 
875,TL823,Event Management (3 year programme),291,346.0,299.0,,293.0, 
876,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372.0,306.0,,306.0, 
877,TL842,Construction Management,,,,,,    
878,TL844,Agricultural Engineering,311,368.0,300.0,,301.0, 
879,TL845,Civil Engineering,300,364.0,325.0,,361.0, 
880,TL847,Manufacturing Engineering,,,302.0,,305.0, 
881,TL848,Agricultural Science,331,362.0,308.0,,307.0, 
882,TL851,Wildlife Biology (Degree Award options),310,362.0,309.0,,309.0, 
883,TL855,Pharmaceutical Science (Degree Award options),342,386.0,317.0,,316.0, 
884,TL858,Veterinary Bioscience,326,369.0,308.0,,317.0, 
885,TL871,Health and Leisure (Degree Award options),303,346.0,300.0,,303.0, 
886,TL872,Health and Leisure with Massage,288,357.0,309.0,,314.0, 
887,TL873,Coaching and Sports Performance,282,336.0,289.0,,308.0, 
888,TL880,Early Childhood Care and Education,307,347.0,307.0,,309.0, 
889,TL881,Social Care,308,356.0,308.0,,301.0, 
890,TL889,Counselling with Addiction - Mature applicants only,,,,,,    
891,TL890,General Nursing and Mature Applicants,407,431.0,440.0,414,463.0, 
892,TL891,Mental Health Nursing and Mature Applicants,367,379.0,389.0,378,440.0, 419
893,WD001,Applied Computing (options),279,358.0,260.0,260,270.0, 261
894,WD002,Science (options),302,377.0,308.0,,279.0, 
895,WD005,Health Sciences (options),288,347.0,280.0,,271.0, 
896,WD006,Exercise Sciences (options),282,337.0,280.0,,270.0, 
897,WD007,Engineering (options),287,382.0,288.0,288,270.0, 270
898,WD025,Construction Management and Engineering,269,327.0,269.0,,262.0, 
899,WD027,Music,290,317.0,262.0,,321.0,
900,WD048,Business (options),278,357.0,271.0,,279.0, 
901,WD084,Accounting,307,403.0,308.0,,308.0, 
902,WD091,Hospitality Management,210,281.0,228.0,,225.0, 
903,WD116,General Nursing,413,430.0,422.0,,446.0, 
904,WD117,Psychiatric Nursing,361,382.0,366.0,,415.0, 
905,WD120,Intellectual Disability Nursing,338,359.0,377.0,,390.0, 
906,WD134,International Business,289,350.0,290.0,,267.0, 
907,WD137,Design (Visual Communications),253,373.0,271.0,,252.0, 
908,WD140,Laws,290,352.0,280.0,,280.0, 
909,WD144,Architecture,283,385.0,284.0,,309.0, 
910,WD147,Pharmaceutical Science,298,363.0,293.0,,288.0, 
911,WD148,Tourism Marketing,269,338.0,,,,
912,WD149,Early Childhood Studies,288,336.0,271.0,,,
913,WD150,Criminal Justice Studies,271,311.0,270.0,,280.0, 
914,WD152,Visual Art,253,323.0,,,243.0, 
915,WD161,Computer Forensics and Security,262,401.0,255.0,,270.0, 
916,WD162,Quantity Surveying,260,320.0,216.0,,226.0, 
917,WD163,Psychology,390,429.0,434.0,,456.0, 
918,WD186,Sports Coaching and Performance,276,327.0,270.0,,261.0, 
919,WD187,Social Science,271,321.0,272.0,,276.0, 
920,WD191,Agricultural Science,378,421.0,377.0,,377.0, 
921,WD192,Social Care Practice,279,323.0,270.0,,271.0, 
922,WD193,Marketing and Digital Media,290,358.0,271.0,,279.0, 
923,WD194,Culinary Arts,235,331.0,217.0,,237.0, 
924,WD195,Architectural and Building Information Modelling Technology,266,305.0,279.0,,279.0, 
925,WD200,Arts (options),221,296.0,,AQA,201.0, 201
926,WD210,Software Systems Development,271,329.0,279.0,,260.0, 
927,WD211,Creative Computing,275,322.0,271.0,,270.0, 
928,WD212,Recreation and Sport Management,274,311.0,270.0,,262.0, 
929,WD230,Mechanical and Manufacturing Engineering,273,348.0,253.0,,230.0, 230
930,AL811,Civil Engineering,,,320.0,,,    
931,AL854,Sport Management (with international placement),,,302.0,299,300.0, 299
932,CI110,Counselling and Psychotherapy,,,310.0,,292.0, 
933,CI111,Counselling and Addiction Studies,,,301.0,,290.0, 
934,CI112,Counselling and Youth Studies,,,311.0,,325.0, 
935,CK123,Anthropology,,,308.0,,308.0, 
936,CK124,Education - Gaeilge,,,463.0,462,473.0, 
937,CK125,Sports Studies and Physical Education,,,510.0,509,564.0, 555
938,CK213,Food Marketing and Entrepreneurship,,,462.0,,466.0, 
939,CK214,International Development,,,346.0,,332.0, 
940,CR430,Sport and Exercise Management,,,322.0,,402.0, 
941,CR440,Montessori Education,,,288.0,,409.0, 408
942,CT325,Business,,,338.0,,253.0, 253
943,CW138,Sport and Exercise Science,,,423.0,,430.0, 423
944,CW148,Strength and Conditioning,,,379.0,,388.0, 
945,DC175,Physics General Entry (options),,,419.0,402,400.0, 
946,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430.0,,,
947,DK822,Augmented and Virtual Reality,,,307.0,,320.0, 320
948,DK844,Mechanical Engineering,,,305.0,305,336.0, 336
949,DK845,Electrical & Electronic Engineering,,,304.0,304,331.0, 331
950,DK846,Civil Engineering,,,391.0,361,371.0, 371
951,DK850,International Tourism Management,,,317.0,317,303.0, 303
952,DK884,Sustainable Agriculture,,,,,348.0, 
953,DK885,Agri-Food Production,,,,,,    
954,DK886,Biopharmaceutical Science,,,301.0,,379.0, 
955,DK887,Environmental Science,,,330.0,,377.0, 
956,DL839,Interaction and User Experience Design,,,683.0,683,757.0,
957,DL840,Digital Marketing,,,228.0,228,210.0, 
958,DL841,English and Equality Studies,,,276.0,,277.0, 277
959,DN240,Sustainability,,,440.0,,510.0, 
960,GA285,"Education (Art, Design and Graphics)",,,,,406.0, 
961,GA685,Manufacturing Engineering Design,,,309.0,,336.0, 
962,GA891,Geography and Outdoor Education,,,244.0,,261.0, 
963,GA984,"Furniture Design, Making and Technology - Common Entry",,,284.0,,486.0, 467
964,GC250,Communications and Media Production,,,,,,
965,GY134,Geography and Geosystems,,,410.0,,425.0, 
966,GY253,Law and Taxation,,,509.0,,506.0, 
967,GY254,"Law (BCL), Criminology and Criminal Justice",,,530.0,,548.0, 
968,GY321,Genetics and Genomics,,,508.0,,532.0, 
969,LC115,Art and Design Teacher Education (portfolio),,,942.0,,993.0,
970,LC414,Data Analytics and Cyber Security,,,236.0,,,
971,LC416,Business,,,274.0,,260.0, 
972,LM091,Languages with concurrent Teacher Education,,,517.0,,506.0, 
973,LM097,Mathematics and Computer Science with concurrent Teacher Education,,,402.0,,465.0, 
974,LY748,Computer Science,,,317.0,317,316.0, 
975,MH203,Biological and Geographical Sciences,,,430.0,,451.0, 
976,MI004,Education - Primary Teaching - International,,,577.0,,589.0, 
977,MI014,"Education, Mathematics and Business Studies",,,434.0,,476.0, 
978,NM801,Montessori Education,,,220.0,,262.0, 
979,SG254,Writing and Literature Online,,,225.0,225,327.0, 
980,SG342,Civil Engineering,,,415.0,,418.0, 
981,SG348,Interior Architecture and Design,,,316.0,,359.0, 
982,SG450,Environmental Science with Ecology (Level 8),,,300.0,,310.0, 
983,TR042,Film,,,489.0,476,531.0, 522
984,TR043,History of Art and Architecture,,,393.0,354,498.0, 486
985,TR111,Ancient History and Archaeology/Geography,,,352.0,,,
986,TR112,Ancient History and Archaeology/History,,,529.0,,,
987,TR113,Ancient History and Archaeology/History of Art and Architecture,,,337.0,,,
988,TR114,Ancient History and Archaeology/Modern Language,,,337.0,,,
989,TR117,Ancient History and Archaeology/Religion,,,342.0,,,
990,TR166,Classical Civilisation/English Literature,,,498.0,496,,
991,TR173,Classical Civilisation/History of Art and Architecture,,,335.0,,,
992,TR177,Classical Civilisation/Modern Language,,,335.0,,,
993,TR179,Classical Civilisation/Philosophy,,,499.0,,,
994,TR198,Economics/Geography,,,534.0,,,
995,TR202,Economics/History,,,534.0,,,
996,TR207,Economics/Mathematics,,,566.0,,,
997,TR208,Economics/Modern Language,,,534.0,,,
998,TR209,Economics/Philosophy,,,534.0,,,
999,TR212,Economics/Sociology,,,534.0,,,
1000,TR228,Classical Languages/English Literature,,,498.0,,,
1001,TR231,Classical Languages/History of Art and Architecture,,,349.0,,,
1002,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,349.0,,,
1003,TR239,Classical Languages/Modern Language,,,349.0,,,
1004,TR262,English Literature/History,,,529.0,,,
1005,TR263,English Literature/History of Art and Architecture,,,498.0,497,,
1006,TR269,English Literature/Philosophy,,,499.0,,,
1007,TR272,English Literature/Sociology,,,498.0,,,
1008,TR276,English Literature/Drama Studies,,,498.0,,,
1009,TR277,English Literature/Modern Language,,,498.0,495,,
1010,TR311,Film/Drama Studies,,,521.0,,,
1011,TR312,Film/English Literature,,,521.0,,,
1012,TR320,Film/Music,,,521.0,,,
1013,TR322,Geography/History,,,529.0,,,
1014,TR323,Drama Studies/Modern Language,,,473.0,,,
1015,TR324,Film/Modern Language,,,521.0,,,
1016,TR325,Film/History,,,529.0,,,
